count,label,uid
3,9-Dec,58508
41,9-Dec,156142
1,9-Dec,19302
2,9-Dec,1338
3,9-Dec,22437
1,9-Dec,30354
3,9-Dec,25688
5,9-Dec,1163802
12,9-Dec,84478
2,9-Dec,69258
53,9-Dec,165297
2,9-Dec,13924
7,9-Dec,12034
7,9-Dec,194982
30,9-Dec,135531
2,9-Dec,124839
12,9-Dec,121531
6,9-Dec,7315
1,9-Dec,767
15,9-Dec,65464
4,9-Dec,8670
6,9-Dec,111988
10,9-Dec,229044
18,9-Dec,99354
4,9-Dec,32090
1,9-Dec,1367
3,9-Dec,22076
75,9-Dec,18936
18,9-Dec,204042
2,9-Dec,226958
11,9-Dec,212275
2,9-Dec,15809
9,9-Dec,80572
8,9-Dec,105672
5,9-Dec,80136
2,9-Dec,235945
3,9-Dec,117587
1,9-Dec,5975
8,9-Dec,211160
59,9-Dec,69083
4,9-Dec,12502
17,9-Dec,24582
1,9-Dec,154770
39,9-Dec,235058
1,9-Dec,11098
3,9-Dec,121309
65,9-Dec,198707
1,9-Dec,13131
4,9-Dec,114400
29,9-Dec,143305
7,9-Dec,14660
171,9-Dec,95810
2,9-Dec,152349
1,9-Dec,107455
2,9-Dec,77507
4,9-Dec,160807
7,9-Dec,94237
2,9-Dec,28053
24,9-Dec,107642
3,9-Dec,83605
20,9-Dec,115730
1,9-Dec,8976
52,9-Dec,126014
17,9-Dec,82187
3,9-Dec,105976
1,9-Dec,32536
20,9-Dec,88558
3,9-Dec,52239
1,9-Dec,85950
3,9-Dec,149392
1,9-Dec,140293
2,9-Dec,18196
1,9-Dec,24197
2,9-Dec,2326914
2,9-Dec,11963
2,9-Dec,202919
2,9-Dec,131057
4,9-Dec,158065
37,9-Dec,104349
20,9-Dec,135786
5,9-Dec,136407
56,9-Dec,226621
1,9-Dec,4639
2,9-Dec,12916
44,9-Dec,126562
1,9-Dec,28278
6,9-Dec,50049
1,9-Dec,72746
8,9-Dec,105570
1,9-Dec,164230
1,9-Dec,6568
7,9-Dec,154306
6,9-Dec,155137
2,9-Dec,62186
2,9-Dec,57601
108,9-Dec,152083
2,9-Dec,54500
12,9-Dec,228191
3,9-Dec,23691
1,9-Dec,99206
11,9-Dec,97627
4,9-Dec,128397
3,9-Dec,137624
15,9-Dec,185722
3,9-Dec,112407
1,9-Dec,122313
2,9-Dec,239819
8,9-Dec,71074
4,9-Dec,49220
5,9-Dec,166258
3,9-Dec,74449
17,9-Dec,133520
2,9-Dec,179855
3,9-Dec,45
5,9-Dec,73488
10,9-Dec,7136
4,9-Dec,117215
10,9-Dec,58391
1,9-Dec,618
1,9-Dec,73820
6,9-Dec,417292
6,9-Dec,30618
2,9-Dec,6364
5,9-Dec,189361
2,9-Dec,78613
25,9-Dec,67566
1,9-Dec,144012
30,9-Dec,98713
3,9-Dec,103043
1,9-Dec,120261
21,9-Dec,13724
9,9-Dec,1431
1,9-Dec,117658
1,9-Dec,44765
3,9-Dec,141502
5,9-Dec,147320
2,9-Dec,17815
1,9-Dec,105536
1,9-Dec,35829
1,9-Dec,56285
1,9-Dec,6083
2,9-Dec,171206
11,9-Dec,174614
1,9-Dec,1249
33,9-Dec,231716
3,9-Dec,784
5,9-Dec,69283
1,9-Dec,22080
22,9-Dec,207716
1,9-Dec,13986
1,9-Dec,12388
5,9-Dec,90025
18,9-Dec,17343
1,9-Dec,445
47,9-Dec,220299
9,9-Dec,8521
2,9-Dec,13188
1,9-Dec,56621
19,9-Dec,23897
2,9-Dec,29125
17,9-Dec,14637
4,9-Dec,52210
14,9-Dec,239168
4,9-Dec,1088
1,9-Dec,28832
12,9-Dec,18804
6,9-Dec,88173
38,9-Dec,225647
4,9-Dec,111888
32,9-Dec,32133
1,9-Dec,144846
7,9-Dec,7034
1,9-Dec,68054
3,9-Dec,12280
10,9-Dec,3571
1,9-Dec,8090
2,9-Dec,15124
1,8-Dec,35478
28,8-Dec,35116
1,8-Dec,49381
1,8-Dec,2342
1,8-Dec,29057
6,8-Dec,10893
9,8-Dec,4092
1,8-Dec,24433
1,8-Dec,1369
10,8-Dec,20
3,8-Dec,449902
1,8-Dec,36429
8,8-Dec,38522
3,8-Dec,41489
61,8-Dec,16143
3,8-Dec,32465
2,8-Dec,38686
10,8-Dec,47773
1,8-Dec,36702
1,8-Dec,39622
1,8-Dec,19468
4,8-Dec,14122
14,8-Dec,582
9,8-Dec,3410
28,8-Dec,21755
1,8-Dec,21776
1,8-Dec,1606
4,8-Dec,20504
3,8-Dec,30529
2,8-Dec,46
21,8-Dec,20840
2,8-Dec,24895
2,8-Dec,6583
1,8-Dec,30579
1,8-Dec,29347
2,8-Dec,13281
4,8-Dec,18866
1,8-Dec,1575281
1,8-Dec,748
8,8-Dec,47961
1,8-Dec,718
2,8-Dec,4977
1,8-Dec,23666
1,8-Dec,25920
1,8-Dec,16794
10,8-Dec,36384
3,8-Dec,21501
9,8-Dec,50356
3,8-Dec,17675
5,8-Dec,31985
10,8-Dec,43029
28,8-Dec,40714
1,8-Dec,2354
1,8-Dec,2954
1,8-Dec,46194
4,8-Dec,30354
2,8-Dec,363
7,8-Dec,14337
4,8-Dec,11702
1,8-Dec,12034
3,8-Dec,30700
2,8-Dec,1367
23,8-Dec,1975282
1,8-Dec,15485
4,8-Dec,16271
4,8-Dec,29900
1,8-Dec,24197
3,8-Dec,11963
1,8-Dec,52175
1,8-Dec,27835
9,8-Dec,9908
25,8-Dec,1200558
8,8-Dec,21038
8,8-Dec,49220
1,8-Dec,7136
1,8-Dec,6486
6,8-Dec,12320
1,8-Dec,30618
7,8-Dec,52490
2,8-Dec,2653
3,8-Dec,8844
3,8-Dec,17815
8,8-Dec,47110
1,8-Dec,12388
8,8-Dec,25418
2,8-Dec,2372835
23,9-Nov,30568
8,9-Nov,83805
5,9-Nov,207838
2,9-Nov,10527
1,9-Nov,118437
3,9-Nov,16800
8,9-Nov,7919
59,9-Nov,1070
1,9-Nov,32958
3,9-Nov,168212
24,9-Nov,95612
13,9-Nov,29057
11,9-Nov,1288
1,9-Nov,75224
28,9-Nov,14149
4,9-Nov,15609
1,9-Nov,74118
24,9-Nov,10893
5,9-Nov,4092
27,9-Nov,50742
1,9-Nov,3205
6,9-Nov,5618
3,9-Nov,4321
9,9-Nov,28875
1,9-Nov,1820
1,9-Nov,24433
30,9-Nov,47161
39,9-Nov,1831
3,9-Nov,75956
6,9-Nov,85170
10,9-Nov,34855
10,9-Nov,108578
1,9-Nov,187986
6,9-Nov,44540
3,9-Nov,82
5,9-Nov,1577190
10,9-Nov,26620
2,9-Nov,9587
3,9-Nov,184773
10,9-Nov,158014
22,9-Nov,202085
1,9-Nov,65060
1,9-Nov,143725
5,9-Nov,214668
6,9-Nov,30447
3,9-Nov,209407
1,9-Nov,41489
2,9-Nov,7890
50,9-Nov,93623
1,9-Nov,19629
2,9-Nov,84278
4,9-Nov,119895
3,9-Nov,57508
1,9-Nov,144491
12,9-Nov,12195
8,9-Nov,38686
2,9-Nov,47773
17,9-Nov,138475
1,9-Nov,169484
89,9-Nov,73070
7,9-Nov,13663
3,9-Nov,39371
1,9-Nov,16089
7,9-Nov,4228
1,9-Nov,87973
1,9-Nov,63485
131,9-Nov,139396
2,9-Nov,9842
8,9-Nov,20938
1,9-Nov,73109
8,9-Nov,100835
10,9-Nov,164075
6,9-Nov,158701
6,9-Nov,98048
18,9-Nov,127549
4,9-Nov,67468
2,9-Nov,36702
9,9-Nov,107591
9,9-Nov,17279
5,9-Nov,14256
33,9-Nov,145346
4,9-Nov,6198
1,9-Nov,144695
4,9-Nov,41021
1,9-Nov,205580
5,9-Nov,1954
3,9-Nov,10387
1,9-Nov,6013
20,9-Nov,60950
2,9-Nov,33
14,9-Nov,36565
3,9-Nov,3560
1,9-Nov,20122
1,9-Nov,6443
1,9-Nov,149053
9,9-Nov,10293
6,9-Nov,77546
9,9-Nov,177800
6,9-Nov,26742
6,9-Nov,33226
55,9-Nov,86837
3,9-Nov,121445
3,9-Nov,161424
1,9-Nov,112871
2,9-Nov,170231
2,9-Nov,119159
4,9-Nov,3241
8,9-Nov,20487
1,9-Nov,2517
18,9-Nov,45433
2,9-Nov,1569
1,9-Nov,2567
4,9-Nov,67132
2,9-Nov,216074
1,9-Nov,2942
6,9-Nov,115432
1,9-Nov,956
4,9-Nov,7583
15,9-Nov,104200
5,9-Nov,13813
6,9-Nov,582
1,9-Nov,33006
2,9-Nov,127013
3,9-Nov,100478
2,9-Nov,31640
4,9-Nov,57036
1,9-Nov,1606
7,9-Nov,55164
